"seqn","age_years","age_group","sex","race_eth","educ_level","pir"
"135850","8",NULL,"1","3",NULL,"4.03"
"135851","60","60+","2","6","5","5"
"135852","14",NULL,"2","1",NULL,NULL
"135853","80","60+","1","3","4","1.03"
"135854","80","60+","2","3","3","2.18"
"135855","79","60+","2","3","4","1.71"
"135856","4",NULL,"1","3",NULL,"5"
"135857","13",NULL,"2","1",NULL,NULL
"135858","70","60+","2","3","5","3.29"
"135859","64","60+","1","3","4","5"
"135860","44","40-49","2","2","4",NULL
"135861","2",NULL,"2","3",NULL,"0.45"
"135862","44","40-49","2","2","4","2.67"
"135863","79","60+","2","3","4","2.21"
"135864","12",NULL,"2","2",NULL,"3.55"
"135865","80","60+","1","3","2","1.22"
"135866","47","40-49","2","6","5","3.42"
"135867","74","60+","1","6","5","0.74"
"135868","41","40-49","2","3","5","5"
"135869","1",NULL,"2","3",NULL,"2.31"
"135870","4",NULL,"1","3",NULL,"2.85"
"135871","67","60+","1","3","3","3.68"
"135872","57","50-59","2","3","5","5"
"135873","56","50-59","1","3","4","0.61"
"135874","14",NULL,"1","7",NULL,"5"
"135875","11",NULL,"1","4",NULL,"1.59"
"135876","61","60+","2","3","5","5"
"135877","77","60+","1","3","5","5"
"135878","16",NULL,"2","1",NULL,"3.62"
"135879","10",NULL,"1","3",NULL,"5"
"135880","3",NULL,"2","3",NULL,"1.01"
"135881","28","18-29","1","2","1","0.77"
"135882","46","40-49","2","2","1",NULL
"135883","69","60+","2","3","2","3.82"
"135884","9",NULL,"2","3",NULL,"3.45"
"135885","20","18-29","1","1","3","1.23"
"135886","30","30-39","2","2","3","0.57"
"135887","10",NULL,"1","2",NULL,"1.46"
"135888","42","40-49","1","2","5","5"
"135889","61","60+","2","3","5","5"
"135890","58","50-59","1","3","5","2.62"
"135891","37","30-39","1","3","3","3.09"
"135892","20","18-29","1","3","4","2.82"
"135893","71","60+","2","3","5","5"
"135894","8",NULL,"2","1",NULL,NULL
"135895","20","18-29","1","3","2","5"
"135896","8",NULL,"2","4",NULL,"1.91"
"135897","5.397605346934028e-79",NULL,"1","3",NULL,"0.97"
"135898","16",NULL,"2","1",NULL,NULL
"135899","5.397605346934028e-79",NULL,"1","3",NULL,"5"
"135900","61","60+","2","4","4",NULL
"135901","4",NULL,"2","3",NULL,"3.41"
"135902","27","18-29","1","3","4","2.87"
"135903","62","60+","1","1","1","2.46"
"135904","2",NULL,"2","1",NULL,NULL
"135905","12",NULL,"1","3",NULL,"1.3"
"135906","26","18-29","2","4","4","1.44"
"135907","10",NULL,"2","3",NULL,"1.24"
"135908","63","60+","2","3","5","4.42"
"135909","34","30-39","2","6","4","2.16"
"135910","63","60+","2","4","5","5"
"135911","65","60+","1","3","4","1.27"
"135912","41","40-49","1","6","5",NULL
"135913","52","50-59","1","4","4","0.96"
"135914","63","60+","2","3","5","4.53"
"135915","54","50-59","2","4","3","5.397605346934028e-79"
"135916","60","60+","2","3","3","3.55"
"135917","23","18-29","1","7","4","4.12"
"135918","41","40-49","1","3","5","5"
"135919","62","60+","2","3","5","3.04"
"135920","40","40-49","2","4","4",NULL
"135921","44","40-49","2","2","5",NULL
"135922","80","60+","2","3","3","1.71"
"135923","60","60+","2","3","4","3.42"
"135924","7",NULL,"1","3",NULL,"5"
"135925","49","40-49","1","3","4","5"
"135926","61","60+","1","2","2","2.73"
"135927","40","40-49","1","3","5",NULL
"135928","75","60+","2","4","4","0.76"
"135929","73","60+","2","6","5","1.91"
"135930","59","50-59","2","3","5","5"
"135931","8",NULL,"1","7",NULL,"0.92"
"135932","59","50-59","2","3","2","3.55"
"135933","8",NULL,"1","1",NULL,"0.68"
"135934","1",NULL,"2","3",NULL,"1.07"
"135935","41","40-49","2","4","5","4.32"
"135936","12",NULL,"1","7",NULL,"0.36"
"135937","26","18-29","1","7","4","3.43"
"135938","28","18-29","2","6","5","5"
"135939","41","40-49","1","3","3","2.02"
"135940","47","40-49","2","3","5","5"
"135941","21","18-29","2","3","4","1.3"
"135942","19","18-29","2","1",NULL,NULL
"135943","69","60+","2","4","3","0.68"
"135944","23","18-29","1","1","4","5"
"135945","48","40-49","2","3","5","4.12"
"135946","72","60+","1","7","4",NULL
"135947","5",NULL,"2","1",NULL,"2.28"
"135948","1",NULL,"1","7",NULL,NULL
"135949","23","18-29","2","3","3",NULL
"135950","13",NULL,"1","1",NULL,"0.77"
"135951","9",NULL,"1","4",NULL,NULL
"135952","19","18-29","2","4",NULL,"0.99"
"135953","60","60+","2","7","3","0.66"
"135954","29","18-29","2","4","3","1.91"
"135955","16",NULL,"2","2",NULL,"0.92"
"135956","30","30-39","1","1","2","1.2"
"135957","53","50-59","2","3","4","2.19"
"135958","7",NULL,"1","4",NULL,NULL
"135959","76","60+","2","3","4","4.1"
"135960","75","60+","2","3","3","1.84"
"135961","26","18-29","2","3","3","2.61"
"135962","50","50-59","2","3","5","5"
"135963","60","60+","1","3","2",NULL
"135964","23","18-29","2","7","2","0.34"
"135965","15",NULL,"1","3",NULL,"4.32"
"135966","30","30-39","2","4","3","0.25"
"135967","57","50-59","1","3","2",NULL
"135968","80","60+","1","3","5","2.73"
"135969","33","30-39","1","1","4","5"
"135970","61","60+","2","4","3","2.03"
"135971","18","18-29","1","4",NULL,NULL
"135972","19","18-29","1","3",NULL,"5"
"135973","78","60+","2","3","3","2.65"
"135974","9",NULL,"2","3",NULL,NULL
"135975","30","30-39","2","4","4","1.31"
"135976","76","60+","2","3","5",NULL
"135977","73","60+","2","3","3","0.88"
"135978","18","18-29","1","3",NULL,"5.397605346934028e-79"
"135979","40","40-49","2","4","4","1.54"
"135980","55","50-59","2","3","4","2.04"
"135981","13",NULL,"2","3",NULL,NULL
